mo,version,scenario,n,sl_r2,month,label
2021-07,v3.2.3 iter,CONST_ALS,53,0.631267783587652,07,LiDAR const
2021-08,v3.2.3 iter,CONST_ALS,53,0.565109665543503,08,LiDAR const
2021-09,v3.2.3 iter,CONST_ALS,53,0.653689858183716,09,LiDAR const
2021-10,v3.2.3 iter,CONST_ALS,52,0.692137846238616,10,LiDAR const
2021-11,v3.2.3 iter,CONST_ALS,52,0.712311668234169,11,LiDAR const
2021-04,v3.2.3 iter,NAIVE_S2_FORMSH,30,0.518219043871883,04,S2 naive
2021-05,v3.2.3 iter,NAIVE_S2_FORMSH,53,0.833165367177671,05,S2 naive
2021-06,v3.2.3 iter,NAIVE_S2_FORMSH,53,0.758831003168864,06,S2 naive
2021-07,v3.2.3 iter,NAIVE_S2_FORMSH,53,0.779640441991125,07,S2 naive
2021-08,v3.2.3 iter,NAIVE_S2_FORMSH,53,0.738459001397978,08,S2 naive
2021-09,v3.2.3 iter,NAIVE_S2_FORMSH,53,0.830939415353502,09,S2 naive
2021-10,v3.2.3 iter,NAIVE_S2_FORMSH,52,0.806225065119533,10,S2 naive
2021-11,v3.2.3 iter,NAIVE_S2_FORMSH,52,0.650232799050629,11,S2 naive
